类别,表达式,复杂度,AUC,expr_full
0,-0.033*x_104 - 0.095*x_122 + 0.1*x_269 - 0.2*x_305 + 0.16*x_328 + 0.36*x_359 - 0.09*x_409 + 0.26*x_414 - 0.081*x_434 - 0.11*x_507 + 0.15*x_512,34,0.961,-0.0328200228368076*x_104 - 0.0954432325865255*x_122 + 0.0997670080348811*x_269 - 0.201512868179664*x_305 + 0.160882339504637*x_328 + 0.358392367663789*x_359 - 0.0897186742368783*x_409 + 0.259160152130594*x_414 - 0.0814629426771187*x_434 - 0.112334985937595*x_507 + 0.152576725666636*x_512
1,1.0*exp(-31.9878078258919*(-0.0889111967829419*x_100 - 0.127170259681648*x_102 - 0.18493590308357*x_177 - 0.0445705652876653*x_182 - 0.0617897693141646*x_184 - 0.163068796848299*x_192 - 0.311462489365378*x_203 - 0.199074649800443*x_205 - 0.0597177990043523*x_246 - 0.816335403784311*x_275 + 0.0965659433423239*x_295 - 0.350048452818952*x_315 - 0.148280085115761*x_316 - 0.0915830784579037*x_317 - 0.0789268767120678*x_347 + 0.107767738499453*x_350 - 0.114878634414586*x_355 - 0.547894814806446*x_411 - 0.159926508868586*x_412 - 0.101481476344831*x_430 + 0.151418726698363*x_434 - 0.295034648360432*x_455 - 0.385281227428696*x_466 - x_471 - 0.070102390198552*x_493 - 0.0746968716357771*x_520 - 0.0479475400224753*x_541 - 0.0585483383262978*x_550 - 0.214488012543269*x_580 - 0.291432745725221*x_581 - 0.0511270454917759*x_628 - 0.457419271508031*x_637 - 0.0619730218464293*x_654 - 0.0350142384430078*x_658 - 0.243622282833445*x_705 - 0.19396016684227*x_706 - 0.259376762864384*x_707 - 0.117506127001018*x_711 - 0.422294223693858*x_736 - 0.534817485810457*x_741 - 0.469068603947568*x_742 - 0.74018286618279*x_744 - 0.579741013907485*x_745 - 0.218532098791141)**2),138,0.9956,1.02995276451111*exp(-31.9878078258919*(-0.0889111967829419*x_100 - 0.127170259681648*x_102 - 0.18493590308357*x_177 - 0.0445705652876653*x_182 - 0.0617897693141646*x_184 - 0.163068796848299*x_192 - 0.311462489365378*x_203 - 0.199074649800443*x_205 - 0.0597177990043523*x_246 - 0.816335403784311*x_275 + 0.0965659433423239*x_295 - 0.350048452818952*x_315 - 0.148280085115761*x_316 - 0.0915830784579037*x_317 - 0.0789268767120678*x_347 + 0.107767738499453*x_350 - 0.114878634414586*x_355 - 0.547894814806446*x_411 - 0.159926508868586*x_412 - 0.101481476344831*x_430 + 0.151418726698363*x_434 - 0.295034648360432*x_455 - 0.385281227428696*x_466 - x_471 - 0.070102390198552*x_493 - 0.0746968716357771*x_520 - 0.0479475400224753*x_541 - 0.0585483383262978*x_550 - 0.214488012543269*x_580 - 0.291432745725221*x_581 - 0.0511270454917759*x_628 - 0.457419271508031*x_637 - 0.0619730218464293*x_654 - 0.0350142384430078*x_658 - 0.243622282833445*x_705 - 0.19396016684227*x_706 - 0.259376762864384*x_707 - 0.117506127001018*x_711 - 0.422294223693858*x_736 - 0.534817485810457*x_741 - 0.469068603947568*x_742 - 0.74018286618279*x_744 - 0.579741013907485*x_745 - 0.218532098791141)**2)
2,0.16*x_125 - 0.048*x_277 - 0.069*x_412 + 0.24*x_473 + 0.34*x_528 + 0.11*x_545 + 0.15*x_581 + 0.4*x_611 - 0.033*x_655 - 0.33*x_70 + 0.12*x_93 - 0.14*exp(-31.9878078258919*(-0.0889111967829419*x_100 - 0.127170259681648*x_102 - 0.18493590308357*x_177 - 0.0445705652876653*x_182 - 0.0617897693141646*x_184 - 0.163068796848299*x_192 - 0.311462489365378*x_203 - 0.199074649800443*x_205 - 0.0597177990043523*x_246 - 0.816335403784311*x_275 + 0.0965659433423239*x_295 - 0.350048452818952*x_315 - 0.148280085115761*x_316 - 0.0915830784579037*x_317 - 0.0789268767120678*x_347 + 0.107767738499453*x_350 - 0.114878634414586*x_355 - 0.547894814806446*x_411 - 0.159926508868586*x_412 - 0.101481476344831*x_430 + 0.151418726698363*x_434 - 0.295034648360432*x_455 - 0.385281227428696*x_466 - x_471 - 0.070102390198552*x_493 - 0.0746968716357771*x_520 - 0.0479475400224753*x_541 - 0.0585483383262978*x_550 - 0.214488012543269*x_580 - 0.291432745725221*x_581 - 0.0511270454917759*x_628 - 0.457419271508031*x_637 - 0.0619730218464293*x_654 - 0.0350142384430078*x_658 - 0.243622282833445*x_705 - 0.19396016684227*x_706 - 0.259376762864384*x_707 - 0.117506127001018*x_711 - 0.422294223693858*x_736 - 0.534817485810457*x_741 - 0.469068603947568*x_742 - 0.74018286618279*x_744 - 0.579741013907485*x_745 - 0.218532098791141)**2),172,0.8795,0.160380070849367*x_125 - 0.0480632251375628*x_277 - 0.0687372613100479*x_412 + 0.239637441417969*x_473 + 0.33776808302536*x_528 + 0.108639208594933*x_545 + 0.14769738043212*x_581 + 0.398882560252588*x_611 - 0.03263319262373*x_655 - 0.330179014523651*x_70 + 0.12288734483004*x_93 - 0.140270844101906*exp(-31.9878078258919*(-0.0889111967829419*x_100 - 0.127170259681648*x_102 - 0.18493590308357*x_177 - 0.0445705652876653*x_182 - 0.0617897693141646*x_184 - 0.163068796848299*x_192 - 0.311462489365378*x_203 - 0.199074649800443*x_205 - 0.0597177990043523*x_246 - 0.816335403784311*x_275 + 0.0965659433423239*x_295 - 0.350048452818952*x_315 - 0.148280085115761*x_316 - 0.0915830784579037*x_317 - 0.0789268767120678*x_347 + 0.107767738499453*x_350 - 0.114878634414586*x_355 - 0.547894814806446*x_411 - 0.159926508868586*x_412 - 0.101481476344831*x_430 + 0.151418726698363*x_434 - 0.295034648360432*x_455 - 0.385281227428696*x_466 - x_471 - 0.070102390198552*x_493 - 0.0746968716357771*x_520 - 0.0479475400224753*x_541 - 0.0585483383262978*x_550 - 0.214488012543269*x_580 - 0.291432745725221*x_581 - 0.0511270454917759*x_628 - 0.457419271508031*x_637 - 0.0619730218464293*x_654 - 0.0350142384430078*x_658 - 0.243622282833445*x_705 - 0.19396016684227*x_706 - 0.259376762864384*x_707 - 0.117506127001018*x_711 - 0.422294223693858*x_736 - 0.534817485810457*x_741 - 0.469068603947568*x_742 - 0.74018286618279*x_744 - 0.579741013907485*x_745 - 0.218532098791141)**2)
3,0.032*x_102 + 0.037*x_122 + 0.059*x_153 + 0.12*x_174 + 0.062*x_177 + 0.035*x_182 + 0.11*x_200 + 0.025*x_228 - 0.043*x_258 + 0.034*x_268 - 0.14*x_291 + 0.033*x_294 + 0.037*x_295 - 0.051*x_315 - 0.053*x_316 - 0.061*x_317 + 0.037*x_324 - 0.053*x_343 - 0.033*x_347 + 0.033*x_348 + 0.066*x_350 + 0.03*x_377 + 0.05*x_378 + 0.039*x_409 + 0.02*x_434 - 0.036*x_455 - 0.053*x_459 + 0.051*x_467 + 0.059*x_469 + 0.039*x_471 + 0.18*x_479 - 0.086*x_487 + 0.043*x_493 + 0.09*x_507 - 0.051*x_512 - 0.061*x_516 - 0.042*x_518 - 0.088*x_528 - 0.054*x_541 - 0.042*x_545 + 0.021*x_550 + 0.25*x_563 + 0.016*x_565 + 0.036*x_578 + 0.044*x_622 + 0.28*x_648 + 0.054*x_651 + 0.065*x_655 + 0.02*x_658 + 0.04*x_682 - 0.05*x_691 + 0.074*x_705 + 0.057*x_708 - 0.021*x_740 - 0.044*x_745 + 0.031*x_96 + 0.035*x_98 + 0.058 - 0.17*exp(-31.9878078258919*(-0.0889111967829419*x_100 - 0.127170259681648*x_102 - 0.18493590308357*x_177 - 0.0445705652876653*x_182 - 0.0617897693141646*x_184 - 0.163068796848299*x_192 - 0.311462489365378*x_203 - 0.199074649800443*x_205 - 0.0597177990043523*x_246 - 0.816335403784311*x_275 + 0.0965659433423239*x_295 - 0.350048452818952*x_315 - 0.148280085115761*x_316 - 0.0915830784579037*x_317 - 0.0789268767120678*x_347 + 0.107767738499453*x_350 - 0.114878634414586*x_355 - 0.547894814806446*x_411 - 0.159926508868586*x_412 - 0.101481476344831*x_430 + 0.151418726698363*x_434 - 0.295034648360432*x_455 - 0.385281227428696*x_466 - x_471 - 0.070102390198552*x_493 - 0.0746968716357771*x_520 - 0.0479475400224753*x_541 - 0.0585483383262978*x_550 - 0.214488012543269*x_580 - 0.291432745725221*x_581 - 0.0511270454917759*x_628 - 0.457419271508031*x_637 - 0.0619730218464293*x_654 - 0.0350142384430078*x_658 - 0.243622282833445*x_705 - 0.19396016684227*x_706 - 0.259376762864384*x_707 - 0.117506127001018*x_711 - 0.422294223693858*x_736 - 0.534817485810457*x_741 - 0.469068603947568*x_742 - 0.74018286618279*x_744 - 0.579741013907485*x_745 - 0.218532098791141)**2),311,0.9768,0.0318709500449676*x_102 + 0.037179539256148*x_122 + 0.059445313453772*x_153 + 0.122145556642557*x_174 + 0.0621636789552915*x_177 + 0.0347690568643977*x_182 + 0.114160510260302*x_200 + 0.0245363649412456*x_228 - 0.0428363773568186*x_258 + 0.0342738546272181*x_268 - 0.138318452800091*x_291 + 0.0330919514723027*x_294 + 0.037065704234247*x_295 - 0.0514164496228142*x_315 - 0.0529811821909365*x_316 - 0.0608275963744909*x_317 + 0.0371003103915157*x_324 - 0.0530472074458999*x_343 - 0.0332351819247945*x_347 + 0.032682664665703*x_348 + 0.0663154621373119*x_350 + 0.0303550858387591*x_377 + 0.0503371850312639*x_378 + 0.0387416809479135*x_409 + 0.0197743812228801*x_434 - 0.0361956960140572*x_455 - 0.0527009680642121*x_459 + 0.0510706963892438*x_467 + 0.0591029701848633*x_469 + 0.0385602121162787*x_471 + 0.174960741348693*x_479 - 0.0855259078828263*x_487 + 0.0431168134605597*x_493 + 0.0900188233813104*x_507 - 0.05091894314037*x_512 - 0.0609614844448214*x_516 - 0.0415919942720255*x_518 - 0.0879941150893782*x_528 - 0.0538033294286944*x_541 - 0.0422427050732477*x_545 + 0.0213435759579406*x_550 + 0.251439562625384*x_563 + 0.0163872374383323*x_565 + 0.0362153391336706*x_578 + 0.0437122548833369*x_622 + 0.278483388436559*x_648 + 0.0537223161445244*x_651 + 0.0649911145261028*x_655 + 0.019946234477094*x_658 + 0.0396310164326619*x_682 - 0.0497275602567515*x_691 + 0.0741016524412297*x_705 + 0.0566237169822092*x_708 - 0.0208372249878752*x_740 - 0.043880662928204*x_745 + 0.0309712284824015*x_96 + 0.035061156340398*x_98 + 0.0581471822213198 - 0.170377865433693*exp(-31.9878078258919*(-0.0889111967829419*x_100 - 0.127170259681648*x_102 - 0.18493590308357*x_177 - 0.0445705652876653*x_182 - 0.0617897693141646*x_184 - 0.163068796848299*x_192 - 0.311462489365378*x_203 - 0.199074649800443*x_205 - 0.0597177990043523*x_246 - 0.816335403784311*x_275 + 0.0965659433423239*x_295 - 0.350048452818952*x_315 - 0.148280085115761*x_316 - 0.0915830784579037*x_317 - 0.0789268767120678*x_347 + 0.107767738499453*x_350 - 0.114878634414586*x_355 - 0.547894814806446*x_411 - 0.159926508868586*x_412 - 0.101481476344831*x_430 + 0.151418726698363*x_434 - 0.295034648360432*x_455 - 0.385281227428696*x_466 - x_471 - 0.070102390198552*x_493 - 0.0746968716357771*x_520 - 0.0479475400224753*x_541 - 0.0585483383262978*x_550 - 0.214488012543269*x_580 - 0.291432745725221*x_581 - 0.0511270454917759*x_628 - 0.457419271508031*x_637 - 0.0619730218464293*x_654 - 0.0350142384430078*x_658 - 0.243622282833445*x_705 - 0.19396016684227*x_706 - 0.259376762864384*x_707 - 0.117506127001018*x_711 - 0.422294223693858*x_736 - 0.534817485810457*x_741 - 0.469068603947568*x_742 - 0.74018286618279*x_744 - 0.579741013907485*x_745 - 0.218532098791141)**2)
4,1.1*exp(-17.7101269695961*(0.173783761290683*x_100 + 0.110732292931109*x_102 + 0.086523135043803*x_120 + 0.0942324817016634*x_125 + 0.0680897569992688*x_184 + 0.172057859081308*x_211 + 0.128668023752457*x_277 + 0.178975277289327*x_294 - 0.0424995098027552*x_324 - 0.0959193848323426*x_348 + 0.116139567951111*x_350 + 0.0824418499446322*x_359 - 0.100604967985488*x_374 - 0.0409437390381925*x_381 - 0.0503292777124181*x_412 - 0.147716032092807*x_428 - 0.112751364535769*x_436 + 0.287656524611726*x_473 - 0.0599529997012077*x_490 + 0.0789892028001948*x_541 + 0.0874870503513161*x_543 + 0.19401382342067*x_567 + 0.0633716828758933*x_580 + 0.0687419204559863*x_597 + 0.223755610003661*x_622 + 0.0896413546428775*x_628 + 0.0784584768233156*x_658 + x_66 + 0.798209376457774*x_68 + 0.492964557705266*x_70 + 0.249203390527639*x_706 + 0.137848663235937*x_708 + 0.0716130514669432*x_711 + 0.0884110459554322*x_716 + 0.0589432337427026*x_718 + 0.0708910338405777*x_719 + 0.556784868079862*x_73 + 0.471516126682038*x_736 + 0.543013852200814*x_737 + 0.556532758546258*x_740 + 0.215669423328619*x_741 + 0.252560356438691*x_742 + 0.318603508073*x_744 + 0.158614996336197*x_745 + 0.29360730104677*x_746 + 0.325644247500631*x_747 + 0.989092098615278*x_749 + 0.230514553291933*x_75 + 0.926931292163903*x_93 + 0.322593693817107*x_96 + 0.303934812292838*x_98 + 0.293854963254894)**2),160,0.9774,1.06753659248352*exp(-17.7101269695961*(0.173783761290683*x_100 + 0.110732292931109*x_102 + 0.086523135043803*x_120 + 0.0942324817016634*x_125 + 0.0680897569992688*x_184 + 0.172057859081308*x_211 + 0.128668023752457*x_277 + 0.178975277289327*x_294 - 0.0424995098027552*x_324 - 0.0959193848323426*x_348 + 0.116139567951111*x_350 + 0.0824418499446322*x_359 - 0.100604967985488*x_374 - 0.0409437390381925*x_381 - 0.0503292777124181*x_412 - 0.147716032092807*x_428 - 0.112751364535769*x_436 + 0.287656524611726*x_473 - 0.0599529997012077*x_490 + 0.0789892028001948*x_541 + 0.0874870503513161*x_543 + 0.19401382342067*x_567 + 0.0633716828758933*x_580 + 0.0687419204559863*x_597 + 0.223755610003661*x_622 + 0.0896413546428775*x_628 + 0.0784584768233156*x_658 + x_66 + 0.798209376457774*x_68 + 0.492964557705266*x_70 + 0.249203390527639*x_706 + 0.137848663235937*x_708 + 0.0716130514669432*x_711 + 0.0884110459554322*x_716 + 0.0589432337427026*x_718 + 0.0708910338405777*x_719 + 0.556784868079862*x_73 + 0.471516126682038*x_736 + 0.543013852200814*x_737 + 0.556532758546258*x_740 + 0.215669423328619*x_741 + 0.252560356438691*x_742 + 0.318603508073*x_744 + 0.158614996336197*x_745 + 0.29360730104677*x_746 + 0.325644247500631*x_747 + 0.989092098615278*x_749 + 0.230514553291933*x_75 + 0.926931292163903*x_93 + 0.322593693817107*x_96 + 0.303934812292838*x_98 + 0.293854963254894)**2)
5,0.36*x_221 + 0.31*x_248 + 0.49*x_277 + 0.08*x_637 + 0.087*exp(-0.664663016796112*x_100 - 0.695391356945038*x_102 - 1.09648585319519*x_120 + 0.456592977046967*x_159 + 0.768594443798065*x_166 - 6.36698532104492*x_200 + 0.538829743862152*x_218 + 0.616288959980011*x_261 - 0.193255245685577*x_268 + 0.633928120136261*x_291 - 0.683506429195404*x_324 - 1.16983282566071*x_327 - 1.69970059394836*x_328 + 1.33203911781311*x_347 - 6.96017694473267*x_359 - 0.114408604800701*x_409 + 0.32222643494606*x_432 - 0.305704951286316*x_434 - 4.69157695770264*x_473 - 0.698408782482147*x_485 - 0.595281600952148*x_487 - 0.358848243951797*x_490 - 0.516032636165619*x_516 - 0.383052408695221*x_716 - 0.454366505146027*x_718 - 1.29221630096436*x_73 - 1.10461056232452*x_742 - 1.2595442533493*x_75),101,0.9426,0.364860507948185*x_221 + 0.31402671994698*x_248 + 0.485141506886976*x_277 + 0.0803785500220968*x_637 + 0.087191253900528*exp(-0.664663016796112*x_100 - 0.695391356945038*x_102 - 1.09648585319519*x_120 + 0.456592977046967*x_159 + 0.768594443798065*x_166 - 6.36698532104492*x_200 + 0.538829743862152*x_218 + 0.616288959980011*x_261 - 0.193255245685577*x_268 + 0.633928120136261*x_291 - 0.683506429195404*x_324 - 1.16983282566071*x_327 - 1.69970059394836*x_328 + 1.33203911781311*x_347 - 6.96017694473267*x_359 - 0.114408604800701*x_409 + 0.32222643494606*x_432 - 0.305704951286316*x_434 - 4.69157695770264*x_473 - 0.698408782482147*x_485 - 0.595281600952148*x_487 - 0.358848243951797*x_490 - 0.516032636165619*x_516 - 0.383052408695221*x_716 - 0.454366505146027*x_718 - 1.29221630096436*x_73 - 1.10461056232452*x_742 - 1.2595442533493*x_75)
6,0.11*x_102 + 0.16*x_104 + 0.18*x_105 + 0.34*x_107 - 0.035*x_243 - 0.025*x_246 - 0.015*x_269 - 0.017*x_275 - 0.087*x_305 + 0.028*x_348 - 0.65*x_390 + 0.056*x_414 + 0.026*x_430 + 0.042*x_485 + 0.056*x_543 - 0.017*x_597 - 0.065*x_611 + 0.24*x_66 + 0.12*x_68 + 0.11*x_70 - 0.074*x_721 + 0.11*x_73 + 0.087*x_75 + 0.048*x_93 + 0.035*x_98 + 0.78*exp(-187.981726390536*(-0.0421471288758418*x_159 + 0.0236091319181359*x_177 + 0.141333158883804*x_190 + 0.024266630316059*x_203 + 0.0388612019238695*x_207 + 0.140592817826627*x_216 + 0.219254870275421*x_228 + 0.385464667675386*x_243 + 0.13039598895459*x_246 + 0.244563963471048*x_248 + 0.15666178096693*x_269 + 0.0176321868615299*x_275 + 0.155192349734302*x_277 + 0.0609059309083875*x_295 + 0.538799369894978*x_312 + 0.0124422611966445*x_321 + 0.0306733879642762*x_323 - 0.0249816481947013*x_414 + 0.172027424884975*x_479 + 0.240803056288979*x_507 + 0.0360878595787016*x_528 - 0.0316684345505779*x_543 + 0.121600538261658*x_594 + 0.0831045683031465*x_611 + 0.152649893914793*x_637 + 0.120013364030329*x_654 + 0.0440739293177528*x_656 + 0.0815391741790212*x_657 + 0.0831620660472317*x_658 + x_659 + 0.327534660193115*x_682 + 0.552467156641696*x_746)**2),178,0.9844,0.111924589477256*x_102 + 0.158165474306323*x_104 + 0.179399026348946*x_105 + 0.3384178607929*x_107 - 0.0348920480943935*x_243 - 0.0251882085912943*x_246 - 0.0150525640148108*x_269 - 0.0165421787215018*x_275 - 0.0872713273213677*x_305 + 0.0284838069693872*x_348 - 0.650597260659413*x_390 + 0.0562228062127945*x_414 + 0.0257165706285608*x_430 + 0.041866857482654*x_485 + 0.0561746498663633*x_543 - 0.0172935704729872*x_597 - 0.0645160816842778*x_611 + 0.239742208004204*x_66 + 0.116464298824784*x_68 + 0.114209374053202*x_70 - 0.0740821829216562*x_721 + 0.108044946074477*x_73 + 0.0871469623393684*x_75 + 0.0481076839517127*x_93 + 0.0353281454186871*x_98 + 0.780929028987885*exp(-187.981726390536*(-0.0421471288758418*x_159 + 0.0236091319181359*x_177 + 0.141333158883804*x_190 + 0.024266630316059*x_203 + 0.0388612019238695*x_207 + 0.140592817826627*x_216 + 0.219254870275421*x_228 + 0.385464667675386*x_243 + 0.13039598895459*x_246 + 0.244563963471048*x_248 + 0.15666178096693*x_269 + 0.0176321868615299*x_275 + 0.155192349734302*x_277 + 0.0609059309083875*x_295 + 0.538799369894978*x_312 + 0.0124422611966445*x_321 + 0.0306733879642762*x_323 - 0.0249816481947013*x_414 + 0.172027424884975*x_479 + 0.240803056288979*x_507 + 0.0360878595787016*x_528 - 0.0316684345505779*x_543 + 0.121600538261658*x_594 + 0.0831045683031465*x_611 + 0.152649893914793*x_637 + 0.120013364030329*x_654 + 0.0440739293177528*x_656 + 0.0815391741790212*x_657 + 0.0831620660472317*x_658 + x_659 + 0.327534660193115*x_682 + 0.552467156641696*x_746)**2)
7,0.8*exp(-1.83985137939453*x_120 - 2.52734184265137*x_122 - 2.62870097160339*x_126 - 2.91522192955017*x_153 - 3.62938117980957*x_155 - 3.7311806678772*x_157 - 3.13705348968506*x_159 - 2.66257333755493*x_160 - 1.25334405899048*x_192 - 1.13549065589905*x_360 - 2.59377813339233*x_377 + 0.23769024014473*x_409 - 2.78995943069458*x_432 - 1.66812634468079*x_459 - 1.46404552459717*x_485 - 0.924736201763153*x_512 - 2.90705847740173*x_528 - 2.01657867431641*x_565 - 2.12740898132324*x_567 - 0.966407299041748*x_581 - 2.17740678787231*x_611 - 2.92571449279785*x_96),70,0.9747,0.798919558525085*exp(-1.83985137939453*x_120 - 2.52734184265137*x_122 - 2.62870097160339*x_126 - 2.91522192955017*x_153 - 3.62938117980957*x_155 - 3.7311806678772*x_157 - 3.13705348968506*x_159 - 2.66257333755493*x_160 - 1.25334405899048*x_192 - 1.13549065589905*x_360 - 2.59377813339233*x_377 + 0.23769024014473*x_409 - 2.78995943069458*x_432 - 1.66812634468079*x_459 - 1.46404552459717*x_485 - 0.924736201763153*x_512 - 2.90705847740173*x_528 - 2.01657867431641*x_565 - 2.12740898132324*x_567 - 0.966407299041748*x_581 - 2.17740678787231*x_611 - 2.92571449279785*x_96)
8,0.043*x_184 + 0.21*x_304 + 0.069*x_305 + 0.039*x_317 + 0.081*x_327 - 0.085*x_399 - 0.05*x_401 - 0.044*x_428 - 0.082*x_466 + 0.18*x_515 - 0.045*x_518 + 0.11*x_656 + 0.033*x_658 + 0.082*x_659 + 0.14*x_691,46,0.8914,0.0431399246587942*x_184 + 0.209677277845092*x_304 + 0.0692916694121202*x_305 + 0.0386461099797155*x_317 + 0.080764685393897*x_327 - 0.0845989703101213*x_399 - 0.0497174956198581*x_401 - 0.0442408349615593*x_428 - 0.0824101649878251*x_466 + 0.182081102889832*x_515 - 0.0452449158707784*x_518 + 0.110902109565962*x_656 + 0.0332248670628712*x_658 + 0.0817327164624242*x_659 + 0.136715837775252*x_691
9,-0.072*x_102 - 0.068*x_104 - 0.031*x_155 - 0.022*x_157 + 0.019*x_159 + 0.01*x_174 - 0.12*x_190 + 0.024*x_192 + 0.023*x_203 + 0.026*x_205 + 0.12*x_211 - 0.051*x_216 + 0.013*x_218 - 0.085*x_221 - 0.093*x_228 - 0.1*x_248 - 0.14*x_258 - 0.1*x_261 + 0.036*x_277 - 0.081*x_294 - 0.051*x_304 + 0.1*x_317 + 0.018*x_321 + 0.02*x_327 + 0.055*x_328 + 0.079*x_343 + 0.072*x_370 + 0.031*x_374 + 0.064*x_377 + 0.074*x_381 + 0.052*x_401 + 0.031*x_409 + 0.0094*x_414 + 0.069*x_430 + 0.04*x_436 - 0.07*x_467 - 0.066*x_469 - 0.053*x_471 + 0.033*x_485 - 0.025*x_541 - 0.061*x_543 - 0.049*x_550 - 0.015*x_567 - 0.024*x_597 - 0.026*x_651 - 0.059*x_657 - 0.094*x_68 - 0.021*x_682 + 0.12*x_693 + 0.073*x_705 + 0.026*x_707 + 0.071*x_713 + 0.21*x_716 + 0.25*x_718 + 0.22*x_719 + 0.44*x_721 + 0.026*x_73 + 0.051*x_742 + 0.056*x_745 + 0.11*x_747 - 0.044,182,0.9447,-0.0721884566300934*x_102 - 0.0679775009954664*x_104 - 0.0312118700147956*x_155 - 0.021893870067472*x_157 + 0.0190208191095209*x_159 + 0.0100991783887272*x_174 - 0.119178597317595*x_190 + 0.0238996981491424*x_192 + 0.0226063706874557*x_203 + 0.0264354445309833*x_205 + 0.122282669325746*x_211 - 0.0507725553264793*x_216 + 0.0130555757309125*x_218 - 0.0852318428873655*x_221 - 0.0925113598044536*x_228 - 0.104183047094604*x_248 - 0.13950557725761*x_258 - 0.10287397667442*x_261 + 0.0358889537935059*x_277 - 0.0812076650969695*x_294 - 0.0506133295152233*x_304 + 0.104829198678282*x_317 + 0.0179301052308456*x_321 + 0.0200273404477769*x_327 + 0.0546356368551049*x_328 + 0.0787639437670773*x_343 + 0.0716126250788518*x_370 + 0.0305383167022011*x_374 + 0.0640720671230488*x_377 + 0.0738286339034522*x_381 + 0.0517285596559991*x_401 + 0.0307043210409663*x_409 + 0.00943385932628937*x_414 + 0.0688725783684463*x_430 + 0.0404016717332567*x_436 - 0.0698256619746429*x_467 - 0.065628927701864*x_469 - 0.052637724787219*x_471 + 0.0330261958802014*x_485 - 0.0245989126325352*x_541 - 0.0610949630772017*x_543 - 0.0485397532705734*x_550 - 0.015403359769365*x_567 - 0.0238303986998234*x_597 - 0.0259815392614426*x_651 - 0.0589078237656016*x_657 - 0.0939346260531204*x_68 - 0.020821571219457*x_682 + 0.12457152203724*x_693 + 0.0728546988477294*x_705 + 0.0262198999946239*x_707 + 0.0711952622517531*x_713 + 0.206468611211346*x_716 + 0.254274201270949*x_718 + 0.220962849736801*x_719 + 0.443184601197265*x_721 + 0.0262239407412113*x_73 + 0.0507266587758592*x_742 + 0.0555450172365823*x_745 + 0.11113758251283*x_747 - 0.0442689246634265
